industry,reporting_topic,Count,label,meta_theme,share_reporting_comments
finance,0,749,Automation of accounting tasks and the future of the profession,Occupational displacement and job security,0.3424782807498857
finance,1,652,AI tools for accounting work and professional learning,Augmentation and productivity,0.2981252857796068
finance,2,217,"AI-enabled auditing, assurance and human verification","Responsibility, liability and governance",0.09922267946959305
finance,3,197,AI-driven job displacement and long-term economic change,Occupational displacement and job security,0.09007773205304069
finance,4,156,"How AI works: pattern matching, training data and limits",AI capabilities and conceptual boundaries,0.07133058984910837
finance,5,74,"AI in tax preparation, compliance and audit",Industry-specific applications,0.03383630544124371
finance,6,71,Everyday AI-assisted finance workflows and human review,Augmentation and productivity,0.03246456332876086
finance,7,71,"AI, offshoring and global labour substitution",Occupational displacement and job security,0.03246456332876086
healthcare,0,1269,"AI therapy, emotional support and the value of human relationships",Relational and embodied care,0.2559499798305768
healthcare,1,620,"AI in radiology, pathology and diagnostic imaging",Industry-specific applications,0.12505042355788623
healthcare,2,488,AI-assisted clinical documentation and medical scribing,Augmentation and productivity,0.09842678499394918
healthcare,3,481,"AI, mid-level substitution and changing medical roles",Occupational displacement and job security,0.09701492537313433
healthcare,4,438,"Bedside nursing, telehealth and automation of care delivery",Relational and embodied care,0.08834207341670028
healthcare,5,397,"AI-assisted study, assessment and healthcare education","Education, training and deskilling",0.08007260992335619
healthcare,7,227,"Clinical AI tools, diagnostic assistance and required expertise",Acceptable delegation and boundaries of use,0.045784590560709965
healthcare,8,213,"AI in pharmacy, prescribing and medication management",Industry-specific applications,0.042960871319080274
healthcare,9,180,"Clinical diagnosis, treatment planning and the limits of remote AI",Reliability and human verification,0.03630496167809601
healthcare,10,159,"Healthcare job displacement, automation and economic change",Occupational displacement and job security,0.03206938281565147
healthcare,11,149,"Clinical evidence, diagnostic accuracy and validation of medical AI",Reliability and human verification,0.030052440500201696
healthcare,12,139,Future expectations and technological change in healthcare,AI capabilities and conceptual boundaries,0.028035498184751918
healthcare,13,123,"Medical malpractice, liability and responsibility for AI errors","Responsibility, liability and governance",0.02480839048003227
healthcare,14,75,"HIPAA compliance, patient privacy and confidential data",Privacy and confidentiality,0.015127067365873336
law,0,1692,"AI-generated content, authenticity and professional disruption","Creativity, authorship and content legitimacy",0.4151128557409225
law,1,874,"AI-assisted legal research, drafting and professional safeguards",Augmentation and productivity,0.21442590775269874
law,2,264,"AI capabilities, licensing and legal-sector implications",AI capabilities and conceptual boundaries,0.0647693817468106
law,3,227,"Lawyer displacement, augmentation and professional adaptation",Occupational displacement and job security,0.055691854759568206
law,4,216,AI-assisted legal drafting and verification of work product,Acceptable delegation and boundaries of use,0.05299313052011776
law,9,126,"AI-generated art, originality and contractual disputes","Creativity, authorship and content legitimacy",0.030912659470068694
law,5,107,"Junior legal work, career pathways and professional demand",Occupational displacement and job security,0.026251226692836114
law,7,82,"Westlaw and Lexis AI: use, reliability and verification",Industry-specific applications,0.020117762512266928
law,8,78,"AI, billable hours and legal pricing models",Market hype and political economy,0.019136408243375858
law,10,70,Automation and the future of paralegal work,Occupational displacement and job security,0.01717369970559372
law,11,69,"Client confidentiality, legal privilege and cloud-based AI",Privacy and confidentiality,0.016928361138370953
law,12,52,"AI-assisted hiring, interviews and candidate assessment","Responsibility, liability and governance",0.012757605495583905
law,14,49,Fabricated citations and lawyers' duty to verify,Reliability and human verification,0.012021589793915604
law,15,46,"Reliability, liability and vendor accountability in legal AI","Responsibility, liability and governance",0.011285574092247301
law,16,44,"Algorithmic judging, judicial bias and human oversight","Responsibility, liability and governance",0.010794896957801767
