pooled_topic,industry,log2_enrichment,final_label
0,finance,-0.5586932712424659,"Broad AI in professional work: automation, capability, oversight and adaptation"
1,finance,-3.7654658615581424,"Healthcare AI: patient care, diagnosis and clinical accountability"
2,finance,0.4253522393090882,"AI-assisted learning, assessment, exams and cheating"
3,finance,-1.5592355493826533,"How AI works: training data, reasoning, memory and model limits"
4,finance,-2.043010261899744,"Legal AI: paralegal work, litigation and legal practice"
5,finance,-6.75355859091012,"AI therapy, empathy and relational care"
6,finance,3.6060041810773136,"AI in tax, bookkeeping and accounting automation"
7,finance,-0.06697276327687696,"Chatbots, AI definitions and general machine-learning debates"
8,finance,0.06241176454452926,GitHub Copilot and AI-assisted coding workflows
9,finance,-5.012356003857443,"Healthcare AI privacy, HIPAA compliance and patient data"
10,finance,-0.7493215980236491,"Model-version capability debates: GPT-4, GPT-5 and technical progress"
11,finance,0.46039699327768846,"Contracts, proprietary information and workplace AI policy"
12,finance,,"Vibe coding, developer identity and codebase maintainability"
13,finance,-1.5815166484557062,"AI in hiring, interviews and candidate assessment"
14,finance,3.5986687934499093,"AI-enabled audit, assurance and human verification"
15,finance,-1.7661954165880454,Claude Code and agentic developer tools
16,finance,0.21949674672807135,"Management AI hype, CEOs and organisational pressure"
17,finance,0.601175649060484,"Gemini and AI tool access, comparison and adoption"
0,healthcare,-1.3312893431341997,"Broad AI in professional work: automation, capability, oversight and adaptation"
1,healthcare,1.9324810176728187,"Healthcare AI: patient care, diagnosis and clinical accountability"
2,healthcare,-0.7580745209644892,"AI-assisted learning, assessment, exams and cheating"
3,healthcare,-2.6757475242398536,"How AI works: training data, reasoning, memory and model limits"
4,healthcare,-3.582664785672843,"Legal AI: paralegal work, litigation and legal practice"
5,healthcare,1.974665963012694,"AI therapy, empathy and relational care"
6,healthcare,-5.42206435505869,"AI in tax, bookkeeping and accounting automation"
7,healthcare,-0.6945749863256789,"Chatbots, AI definitions and general machine-learning debates"
8,healthcare,-4.4512475506956255,GitHub Copilot and AI-assisted coding workflows
9,healthcare,1.955784112568154,"Healthcare AI privacy, HIPAA compliance and patient data"
10,healthcare,-1.1031095764854146,"Model-version capability debates: GPT-4, GPT-5 and technical progress"
11,healthcare,-0.47835348590523347,"Contracts, proprietary information and workplace AI policy"
12,healthcare,-5.897984096484556,"Vibe coding, developer identity and codebase maintainability"
13,healthcare,-1.6357443450585638,"AI in hiring, interviews and candidate assessment"
14,healthcare,,"AI-enabled audit, assurance and human verification"
15,healthcare,-3.7273137087994215,Claude Code and agentic developer tools
16,healthcare,-1.2270483726535466,"Management AI hype, CEOs and organisational pressure"
17,healthcare,-2.207939549705842,"Gemini and AI tool access, comparison and adoption"
0,law,-0.35951666927972825,"Broad AI in professional work: automation, capability, oversight and adaptation"
1,law,-2.6785610915064657,"Healthcare AI: patient care, diagnosis and clinical accountability"
2,law,0.16582055154686273,"AI-assisted learning, assessment, exams and cheating"
3,law,-0.9334566965081496,"How AI works: training data, reasoning, memory and model limits"
4,law,2.5577084876573837,"Legal AI: paralegal work, litigation and legal practice"
5,law,-3.187485984159884,"AI therapy, empathy and relational care"
6,law,-3.9537671451506453,"AI in tax, bookkeeping and accounting automation"
7,law,-0.647741544855912,"Chatbots, AI definitions and general machine-learning debates"
8,law,-3.3004325306437523,GitHub Copilot and AI-assisted coding workflows
9,law,-2.446283397107207,"Healthcare AI privacy, HIPAA compliance and patient data"
10,law,-0.960856569936965,"Model-version capability debates: GPT-4, GPT-5 and technical progress"
11,law,1.5707901162517346,"Contracts, proprietary information and workplace AI policy"
12,law,-5.2776837931314615,"Vibe coding, developer identity and codebase maintainability"
13,law,-0.5415128533730578,"AI in hiring, interviews and candidate assessment"
14,law,-3.113708058020336,"AI-enabled audit, assurance and human verification"
15,law,-1.7850853105589652,Claude Code and agentic developer tools
16,law,-3.606748069300453,"Management AI hype, CEOs and organisational pressure"
17,law,-0.1282076277154511,"Gemini and AI tool access, comparison and adoption"
0,software_engineering,0.4925513697214358,"Broad AI in professional work: automation, capability, oversight and adaptation"
1,software_engineering,-4.16928857334106,"Healthcare AI: patient care, diagnosis and clinical accountability"
2,software_engineering,0.14422542071605912,"AI-assisted learning, assessment, exams and cheating"
3,software_engineering,0.726286899075972,"How AI works: training data, reasoning, memory and model limits"
4,software_engineering,-4.965842401377284,"Legal AI: paralegal work, litigation and legal practice"
5,software_engineering,-5.2840733076088995,"AI therapy, empathy and relational care"
6,software_engineering,-4.635316969320818,"AI in tax, bookkeeping and accounting automation"
7,software_engineering,0.38167901660717757,"Chatbots, AI definitions and general machine-learning debates"
8,software_engineering,0.7912836766643989,GitHub Copilot and AI-assisted coding workflows
9,software_engineering,-5.390867627111173,"Healthcare AI privacy, HIPAA compliance and patient data"
10,software_engineering,0.5558632330291371,"Model-version capability debates: GPT-4, GPT-5 and technical progress"
11,software_engineering,-1.1107597079184373,"Contracts, proprietary information and workplace AI policy"
12,software_engineering,0.9476569783068844,"Vibe coding, developer identity and codebase maintainability"
13,software_engineering,0.6088145636484434,"AI in hiring, interviews and candidate assessment"
14,software_engineering,-4.473329787303146,"AI-enabled audit, assurance and human verification"
15,software_engineering,0.8261466144987082,Claude Code and agentic developer tools
16,software_engineering,0.6185927021378933,"Management AI hype, CEOs and organisational pressure"
17,software_engineering,0.4032362714485751,"Gemini and AI tool access, comparison and adoption"
