reporting_theme_id,final_reporting_theme,source_topic_ids,n_comments,share_of_646_assigned_comments,share_of_858_modelled_comments,final_meta_theme,reporting_decision,confidence,researcher_note
RT01,"Clinical AI in diagnosis and patient care: human judgement, liability and role boundaries",0,100,0.15479876160990713,0.11655011655011654,Human oversight and professional accountability,Keep,High,Distinct clinical-decision and patient-care boundary theme.
RT02,"AI as a research and problem-solving aid: task suitability, hallucinations and verification burden",2 + 9 + 20,94,0.14551083591331268,0.10955710955710955,Verification and epistemic reliability,Keep,Medium,"Researcher-led reporting merge of broad cross-industry reference, research and uncertain-answer topics."
RT03,"Legal AI in research and drafting: fabricated authorities, verification and professional liability",1 + 7,90,0.1393188854489164,0.1048951048951049,Verification and epistemic reliability,Keep,High,"Merged because both topics concern legal research/drafting, fabricated authorities and professional verification duties."
RT04,"Authorship, AI detection and institutional governance",10 + 11 + 13,57,0.08823529411764706,0.06643356643356643,"Authorship, detection and institutional governance",Keep,Medium,Provisional reporting merge. A random audit of 10 Topic 13 comments found only 3 clearly centred on institutional rules or detection; retain review flag.
RT05,"AI-assisted coding: boilerplate productivity, learning and developer responsibility",5 + 14,56,0.08668730650154799,0.06526806526806526,Task-specific augmentation and occupational limits,Keep,High,"Merged repetitive-code productivity with complex requirements, learning and developer responsibility."
RT06,"Accounting and bookkeeping automation: capability limits, decision risk and human review",6 + 19,46,0.07120743034055728,0.053613053613053616,Task-specific augmentation and occupational limits,Keep,High,Merged accounting/bookkeeping automation topics while retaining auditing as a separate institutional-control theme.
RT07,Routine drafting and workflow automation: efficiency under human oversight,3,41,0.06346749226006192,0.047785547785547784,Task-specific augmentation and occupational limits,Keep,High,Distinct cross-industry routine-workflow theme.
RT08,"AI replacement claims: hype, adaptation and boundaries of human roles",4,39,0.06037151702786378,0.045454545454545456,Task-specific augmentation and occupational limits,Keep,High,Distinct occupational-replacement and adaptation theme.
RT09,"Clinical documentation and patient data: productivity, review and HIPAA safeguards",12 + 18,34,0.05263157894736842,0.039627039627039624,"Privacy, confidentiality and regulatory safeguards",Keep,High,Merged clinical-note productivity and review with patient-data and HIPAA safeguards.
RT10,"AI therapy and emotional support: relational, ethical and task-specific limits",8,26,0.04024767801857585,0.030303030303030304,Relational and human-judgement boundaries,Keep,High,Retained separately from clinical diagnosis because it concerns relational care and emotional support.
RT11,"AI-integrated auditing: external controls, verification and accountability",15,17,0.02631578947368421,0.019813519813519812,Human oversight and professional accountability,Keep,High,"Retained separately because audit independence, controls and accountability are institutionally distinctive."
RT12,"Privacy, proprietary data and ethical accountability in professional AI use",16,16,0.02476780185758514,0.018648018648018648,"Privacy, confidentiality and regulatory safeguards",Keep,High,Cross-industry proprietary-data and ethical-accountability theme.
RT13,"Black-box AI in engineering: traceability, trust and professional responsibility",17,16,0.02476780185758514,0.018648018648018648,Human oversight and professional accountability,Keep,High,Retained separately from coding because it concerns traceability and engineering responsibility.
RT14,"Domain-specific tax AI: verified sources, fact-checking and bounded advisory use",21,14,0.021671826625386997,0.016317016317016316,Verification and epistemic reliability,Keep,High,"Distinct source-grounded, domain-specific advisory-tool theme."
