metric,value
industry,healthcare
input_file,outputs/four_industry_ai_comments_master_harmonised_total_posts_ranked_v3.csv
total_rows,8411
modelled_rows,8283
excluded_empty_unusable_rows,128
text_definition,comment_body
substantive_topics_excluding_outlier,16
topics_found_including_outlier,17
outlier_count,2988
outlier_rate,0.360739
embedding_model,sentence-transformers/all-MiniLM-L6-v2
random_seed,42
min_topic_size,70
min_samples,10
min_df,5
max_df,0.8
ngram_range,"(1, 3)"
stopword_policy,generic_ai_reddit_terms_plus_occupational_identity_terms
industry_identity_stopwords,clinical; clinician; clinicians; dentist; dentists; doc; docs; doctor; doctors; dr; drs; health; healthcare; hospital; hospitals; md; mds; med; medical; medicine; nurse; nurses; nursing; pharmacist; pharmacists; physician; physicians; radiologist; radiologists; therapist; therapists
representation_model,keybert_mmr
nr_topics,none
calculate_probabilities,0
domination_flagged_topics,1
post_month_outside_window_rows,0
comment_month_outside_window_rows,21
run_timestamp,2026-07-25T18:54:24
