source_topic_id,source_topic_count,source_researcher_label,reporting_theme_id,final_reporting_theme,final_meta_theme,reporting_decision,confidence,researcher_note
-1,212,Outliers and heterogeneous trust-boundary discussions,,Heterogeneous / unassigned trust-boundary discussions,,Exclude from substantive theme prevalence; retain for audit,High,Model-designated Topic -1 is retained in assignment files but excluded from the 646-comment substantive reporting denominator.
0,100,"Clinical AI in diagnosis and patient care: human judgement, liability and role boundaries",RT01,"Clinical AI in diagnosis and patient care: human judgement, liability and role boundaries",Human oversight and professional accountability,Keep,High,Distinct clinical-decision and patient-care boundary theme.
1,62,"AI-assisted legal casework: verification, access and professional liability",RT03,"Legal AI in research and drafting: fabricated authorities, verification and professional liability",Verification and epistemic reliability,Keep,High,"Merged because both topics concern legal research/drafting, fabricated authorities and professional verification duties."
2,56,AI as a reference tool: task-specific usefulness and cross-checking,RT02,"AI as a research and problem-solving aid: task suitability, hallucinations and verification burden",Verification and epistemic reliability,Keep,Medium,"Researcher-led reporting merge of broad cross-industry reference, research and uncertain-answer topics."
3,41,Routine drafting and workflow automation: productivity with human oversight,RT07,Routine drafting and workflow automation: efficiency under human oversight,Task-specific augmentation and occupational limits,Keep,High,Distinct cross-industry routine-workflow theme.
4,39,"AI replacement claims: hype, adaptation and the persistence of human roles",RT08,"AI replacement claims: hype, adaptation and boundaries of human roles",Task-specific augmentation and occupational limits,Keep,High,Distinct occupational-replacement and adaptation theme.
5,38,"AI-assisted software development: requirements, learning and responsibility for generated code",RT05,"AI-assisted coding: boilerplate productivity, learning and developer responsibility",Task-specific augmentation and occupational limits,Keep,High,"Merged repetitive-code productivity with complex requirements, learning and developer responsibility."
6,31,Accounting and internal-audit automation: capability limits and professional judgement,RT06,"Accounting and bookkeeping automation: capability limits, decision risk and human review",Task-specific augmentation and occupational limits,Keep,High,Merged accounting/bookkeeping automation topics while retaining auditing as a separate institutional-control theme.
7,28,Hallucinated legal authorities: mandatory verification in research and drafting,RT03,"Legal AI in research and drafting: fabricated authorities, verification and professional liability",Verification and epistemic reliability,Keep,High,"Merged because both topics concern legal research/drafting, fabricated authorities and professional verification duties."
8,26,"AI therapy and emotional support: relational, ethical and task-specific limits",RT10,"AI therapy and emotional support: relational, ethical and task-specific limits",Relational and human-judgement boundaries,Keep,High,Retained separately from clinical diagnosis because it concerns relational care and emotional support.
9,24,AI-assisted research and reasoning: verification burden and limits of reliance,RT02,"AI as a research and problem-solving aid: task suitability, hallucinations and verification burden",Verification and epistemic reliability,Keep,Medium,"Researcher-led reporting merge of broad cross-industry reference, research and uncertain-answer topics."
10,20,"Copyright, authorship and acceptable use of AI-generated creative work",RT04,"Authorship, AI detection and institutional governance","Authorship, detection and institutional governance",Keep,Medium,Provisional reporting merge. A random audit of 10 Topic 13 comments found only 3 clearly centred on institutional rules or detection; retain review flag.
11,19,"AI-detection systems: false accusations, fairness and evidential standards",RT04,"Authorship, AI detection and institutional governance","Authorship, detection and institutional governance",Keep,Medium,Provisional reporting merge. A random audit of 10 Topic 13 comments found only 3 clearly centred on institutional rules or detection; retain review flag.
12,19,"AI-generated clinical notes: productivity, privacy and labour consequences",RT09,"Clinical documentation and patient data: productivity, review and HIPAA safeguards","Privacy, confidentiality and regulatory safeguards",Keep,High,Merged clinical-note productivity and review with patient-data and HIPAA safeguards.
13,18,"Institutional governance of AI use: detection, access and approved systems",RT04,"Authorship, AI detection and institutional governance","Authorship, detection and institutional governance",Keep,Medium,Provisional reporting merge. A random audit of 10 Topic 13 comments found only 3 clearly centred on institutional rules or detection; retain review flag.
14,18,GitHub Copilot for repetitive coding: productivity under developer control,RT05,"AI-assisted coding: boilerplate productivity, learning and developer responsibility",Task-specific augmentation and occupational limits,Keep,High,"Merged repetitive-code productivity with complex requirements, learning and developer responsibility."
15,17,"AI-integrated auditing: human verification, governance and accountability",RT11,"AI-integrated auditing: external controls, verification and accountability",Human oversight and professional accountability,Keep,High,"Retained separately because audit independence, controls and accountability are institutionally distinctive."
16,16,"Privacy, proprietary data and ethical accountability in AI use",RT12,"Privacy, proprietary data and ethical accountability in professional AI use","Privacy, confidentiality and regulatory safeguards",Keep,High,Cross-industry proprietary-data and ethical-accountability theme.
17,16,"Black-box AI in engineering: traceability, trust and professional responsibility",RT13,"Black-box AI in engineering: traceability, trust and professional responsibility",Human oversight and professional accountability,Keep,High,Retained separately from coding because it concerns traceability and engineering responsibility.
18,15,HIPAA compliance and patient-data safeguards in clinical AI,RT09,"Clinical documentation and patient data: productivity, review and HIPAA safeguards","Privacy, confidentiality and regulatory safeguards",Keep,High,Merged clinical-note productivity and review with patient-data and HIPAA safeguards.
19,15,"Automated bookkeeping: human review, decision risk and occupational change",RT06,"Accounting and bookkeeping automation: capability limits, decision risk and human review",Task-specific augmentation and occupational limits,Keep,High,Merged accounting/bookkeeping automation topics while retaining auditing as a separate institutional-control theme.
20,14,Hallucinations in search and problem-solving: verification limits and uncertain answers,RT02,"AI as a research and problem-solving aid: task suitability, hallucinations and verification burden",Verification and epistemic reliability,Keep,Medium,"Researcher-led reporting merge of broad cross-industry reference, research and uncertain-answer topics."
21,14,"Domain-specific tax AI: verified sources, human fact-checking and advisory use",RT14,"Domain-specific tax AI: verified sources, fact-checking and bounded advisory use",Verification and epistemic reliability,Keep,High,"Distinct source-grounded, domain-specific advisory-tool theme."
